#,,,,,0.707106782373095,0.353553391186547
#,図面
#
#,用紙サイズ,向き,Xサイズ,Yサイズ,最大,最大
#,A4,縦,20320,28875,-21,0
#,A4,横,28897,20298,0,-22
#,A3,縦,29016,41174,-35,0
#,A3,横,41196,28994,0,-35
#,A2,縦,41314,58571,-50,0
#,A2,横,58593,41292,0,-50
#,A1,縦
#,A1,横
#,A0,縦
#,A0,横
#
#
#
#
#
#,用紙サイズ,向き,Xサイズ,Yサイズ,最大,最大,left,top,width,hight
,A4,縦,20320,28875,-25,0,20,20,20260,28800
,A4,横,28897,20298,0,-25,20,20,28800,20260
,A3,縦,29016,41174,-35,0,28,28,28920,41105
,A3,横,41196,28994,0,-35,28,28,41105,28920
,A2,縦,41314,58571,-50,0,40,40,41180,58440
,A2,横,58593,41292,0,-50,40,40,58440,41180
